>MA0399.1 SUT1
>MA0400.1 SUT2
>MA0401.1 SWI4
>MA0402.1 SWI5
>MA0403.1 TBF1
>MA0404.1 TBS1
>MA0405.1 TEA1
>MA0406.1 TEC1
>MA0407.1 THI2
>MA0408.1 TOS8
>MA0409.1 TYE7
>MA0410.1 UGA3
>MA0411.1 UPC2
>MA0412.1 UME6
>MA0413.1 USV1
>MA0414.1 XBP1
>MA0415.1 YAP1
>MA0416.1 YAP3
>MA0417.1 YAP5
>MA0418.1 YAP6
>MA0419.1 YAP7
>MA0420.1 YBR239C
>MA0421.1 YDR026C
>MA0422.1 YDR520C
>MA0423.1 YER130C
>MA0424.1 YER184C
>MA0425.1 YGR067C
>MA0426.1 YHP1
>MA0427.1 YJL103C
>MA0428.1 YKL222C
>MA0429.1 YLL054C
>MA0430.1 YLR278C
>MA0431.1 YML081W
>MA0432.1 YNR063W
>MA0433.1 YOX1
>MA0434.1 YPR013C
>MA0435.1 YPR015C
>MA0436.1 YPR022C
>MA0437.1 YPR196W
>MA0438.1 YRM1
>MA0439.1 YRR1
>MA0440.1 ZAP1
>MA0441.1 ZMS1
>MA0442.1 SOX10
>MA0443.1 btd
>MA0444.1 CG34031
>MA00445.1 D
>MA0446.1 fkh
>MA0447.1 gt
>MA0448.1 H2.0
>MA0449.1 h
>MA0450.1 hkb
>MA0451.1 kni
>MA0452.1 Kr
>MA0453.1 nub
>MA0454.1 odd
>MA0456.1 opa
>MA0457.1 PHDP
>MA0458.1 slp1
>MA0459.1 tll
>MA0460.1 ttk
>MA0445.1 D
>MA0141.2 Esrrb
>MA0143.2 Sox2
>MA0145.2 Tcfcp2l1
>MA0146.2 Zfx
>MA0148.2 FOXA1
